loop1: max_iter=50, norm_reduction(target=0.001, final=0.000963888)
  i                   resNorm                         J                        Jb                      JoJc
  5           21.118765389010      1105745.930944914930         3073.083848164066      1102672.847096750978
  6           20.327592085605      1105743.585933082039         3074.118874827188      1102669.467058255104
  7           16.508310890742      1105741.806329797953         3075.078866586823      1102666.727463210933
  8           16.940411315116      1105740.571176620899         3075.720502700749      1102664.850673920941
  9           12.842667694449      1105739.015840406995         3076.569507419753      1102662.446332988096
 10           10.335612019773      1105737.809764133068         3077.137643550273      1102660.672120583011
 11           10.622384033447      1105736.504231844097         3077.639884630151      1102658.864347214112
 12            8.627137210506      1105735.620259941090         3078.172224594743      1102657.448035346111
 13            7.623477691887      1105734.762890475104         3078.603269668253      1102656.159620807040
 14            8.243372262866      1105734.184885198949         3078.842937846523      1102655.341947352979
 15            6.368645321572      1105733.736556173069         3078.922007010101      1102654.814549162984
 16            5.334499189896      1105733.312210611068         3078.917371266212      1102654.394839344081
 17            4.935847893894      1105732.938737913966         3078.918016987478      1102654.020720926113
 18            4.329479925074      1105732.721073775087         3078.848675292325      1102653.872398481937
 19            3.664401066071      1105732.528515205020         3078.766773753369      1102653.761741451919
 20            3.149990339220      1105732.387308686972         3078.716009153022      1102653.671299533918
 21            3.106603449627      1105732.285248862114         3078.500601109404      1102653.784647752997
 22            2.602521998181      1105732.220066234004         3078.381790083162      1102653.838276151102
 23            2.196349429991      1105732.166307490086         3078.297673860862      1102653.868633629987
 24            1.762591343912      1105732.109916161979         3078.151009743779      1102653.958906417945
 25            1.551325012125      1105732.078509523999         3078.051685983254      1102654.026823540917
 26            1.338312775240      1105732.056646588957         3077.944644983920      1102654.112001605099
 27            1.216405455596      1105732.039775722893         3077.855994901944      1102654.183780821040
 28            0.917878493049      1105732.025364712114         3077.818743131450      1102654.206621580990
 29            0.761988193290      1105732.015750413993         3077.788849673088      1102654.226900740992
 30            0.598415158142      1105732.007723212009         3077.763171150632      1102654.244552060962
 31            0.507729180376      1105732.002634176984         3077.738576478423      1102654.264057697961
 32            0.523301583641      1105731.999315815978         3077.717911526709      1102654.281404288951
 33            0.367090425086      1105731.997135102050         3077.708353262673      1102654.288781838957
 34            0.296845382798      1105731.995101140114         3077.702249774942      1102654.292851364939
 35            0.261049401643      1105731.993875205051         3077.689141361068      1102654.304733844008
 36            0.209708423806      1105731.992888913024         3077.678912034087      1102654.313976878999
 37            0.180317871621      1105731.992271203082         3077.680326728727      1102654.311944474000
 38            0.147337678177      1105731.991869627964         3077.682193096171      1102654.309676531935
 39            0.124106225250      1105731.991563861025         3077.690967083935      1102654.300596778048
 40            0.112273423307      1105731.991352529032         3077.701645699945      1102654.289706829004
 41            0.089534633103      1105731.991222003940         3077.710961568883      1102654.280260436004
 42            0.072703202683      1105731.991109754890         3077.719649824568      1102654.271459930111
 43            0.062197476292      1105731.991035775049         3077.731912936114      1102654.259122838965
 44            0.050216351079      1105731.990985773969         3077.740360378435      1102654.250625394983

